"distance","meanCounts","normDensity","funcDensity","rawDensity","normPropOccup","source","timePoint","position"
6.5,3.30813581037796,0.0134552652256557,0.0134552652256557,0.000104256066263898,0.00564544212157058,"finalRR",0,0
7.5,3.13745190252245,0.0128942640403172,0.0128942640403172,9.88769543327182e-05,0.00464027584964673,"finalRR",0,0
8.5,3.42609625668449,0.0145522963982581,0.0145522963982581,0.000107973595655548,0.00447104066660604,"finalRR",0,0
9.5,3.53786906290116,0.015117478786584,0.015117478786584,0.000111496121258902,0.00413091382882878,"finalRR",0,0
10.5,4.54465624330692,0.0202900194619254,0.0202900194619254,0.000143225069830101,0.00480108865090914,"finalRR",0,0
11.5,5.62416970216413,0.0240256096474392,0.0240256096474392,0.000177245990720446,0.00542486033406913,"finalRR",0,0
12.5,6.38004291845494,0.0262755083562081,0.0262755083562081,0.000201067373106714,0.00566163115687876,"finalRR",0,0
13.5,7.62271456227146,0.0322654252978598,0.0322654252978598,0.000240230232393075,0.00626330952473827,"finalRR",0,0
14.5,7.77466609220164,0.0316633337690584,0.0316633337690584,0.000245018992492827,0.005947599675476,"finalRR",0,0
15.5,8.15234797662844,0.0347406842380159,0.0347406842380159,0.000256921656055172,0.00583416887681258,"finalRR",0,0
16.5,9.16905381944444,0.0387851650697133,0.0387851650697133,0.000288963191770542,0.00616408420886103,"finalRR",0,0
17.5,10.9695055543455,0.0482808207477621,0.0482808207477621,0.000345704518650149,0.00695307620248928,"finalRR",0,0
18.5,11.0999121651296,0.0481197435349791,0.0481197435349791,0.000349814289540602,0.00665542508310219,"finalRR",0,0
19.5,11.3923264581947,0.0512184462783281,0.0512184462783281,0.000359029740677364,0.00648045942249544,"finalRR",0,0
20.5,11.7377417903734,0.0536753128703677,0.0536753128703677,0.000369915522224546,0.00635124221954574,"finalRR",0,0
21.5,13.2753390025282,0.0576511233464118,0.0576511233464118,0.000418372975614066,0.00684912583966387,"finalRR",0,0
22.5,14.1778252611586,0.058030004757782,0.058030004757782,0.000446814875395467,0.006989644484746,"finalRR",0,0
23.5,14.9130221130221,0.0605504593728796,0.0605504593728796,0.000469984641118034,0.00703924020086698,"finalRR",0,0
24.5,15.7849654819739,0.0689413298077133,0.0689413298077133,0.000497463980196746,0.00714669976340192,"finalRR",0,0
25.5,16.943297550234,0.0803639320994358,0.0803639320994358,0.000533968873522247,0.00737030979263957,"finalRR",0,0
26.5,11.5326192794547,0.0580839955789353,0.0580839955789353,0.000363451075987646,0.00482736421341701,"finalRR",0,0
0.5,0.87571129080563,0.0066260701242852,0.0066260701242852,2.75980853252346e-05,0.019427590032797,"finalGR",0,0
1.5,0.753071621216662,0.00468086110329665,0.00468086110329665,2.37330899767549e-05,0.00556894601982027,"finalGR",0,0
2.5,0.84038403840384,0.00778058168290457,0.00778058168290457,2.64847451909607e-05,0.00372877151171502,"finalGR",0,0
3.5,1.27665965755482,0.0132007870240611,0.0132007870240611,4.02339932468714e-05,0.00404608568711017,"finalGR",0,0
